Category: All categories

Day,firefox: (Worldwide),mozilla: (Worldwide)
2024-12-04,81,16
2024-12-05,77,17
2024-12-06,72,16
2024-12-07,62,13
2024-12-08,61,12
2024-12-09,80,16
2024-12-10,84,18
2024-12-11,82,16
2024-12-12,78,17
2024-12-13,72,16
2024-12-14,60,13
2024-12-15,60,12
2024-12-16,76,16
2024-12-17,77,16
2024-12-18,73,16
2024-12-19,73,16
2024-12-20,90,16
2024-12-21,68,13
2024-12-22,61,11
2024-12-23,68,15
2024-12-24,70,14
2024-12-25,63,12
2024-12-26,65,15
2024-12-27,68,15
2024-12-28,58,12
2024-12-29,62,13
2024-12-30,65,15
2024-12-31,61,15
2025-01-01,62,12
2025-01-02,71,15
2025-01-03,71,14
2025-01-04,58,12
2025-01-05,60,12
2025-01-06,75,15
2025-01-07,83,18
2025-01-08,86,17
2025-01-09,83,16
2025-01-10,79,16
2025-01-11,64,13
2025-01-12,62,12
2025-01-13,81,17
2025-01-14,78,16
2025-01-15,82,16
2025-01-16,80,16
2025-01-17,71,17
2025-01-18,63,14
2025-01-19,57,12
2025-01-20,76,18
2025-01-21,79,17
2025-01-22,77,16
2025-01-23,86,16
2025-01-24,74,16
2025-01-25,59,12
2025-01-26,59,12
2025-01-27,79,17
2025-01-28,78,17
2025-01-29,76,16
2025-01-30,78,17
2025-01-31,69,16
2025-02-01,63,13
2025-02-02,59,11
2025-02-03,76,18
2025-02-04,77,18
2025-02-05,78,17
2025-02-06,83,17
2025-02-07,79,16
2025-02-08,62,14
2025-02-09,59,11
2025-02-10,77,17
2025-02-11,78,17
2025-02-12,81,17
2025-02-13,82,17
2025-02-14,69,16
2025-02-15,61,12
2025-02-16,62,12
2025-02-17,75,16
2025-02-18,80,18
2025-02-19,87,18
2025-02-20,82,17
2025-02-21,80,17
2025-02-22,69,13
2025-02-23,67,11
2025-02-24,78,17
2025-02-25,78,17
2025-02-26,79,15
2025-02-27,79,17
2025-02-28,84,18
2025-03-01,79,15
2025-03-02,72,13
2025-03-03,94,18
2025-03-04,100,19
